UserID, OpinionFor1, OpinionFor2, OpinionFor3, OpinionFor4, OpinionFor5, OpinionFor6, OpinionFor7, OpinionFor8, OpinionFor9, OpinionFor10
1,1.4,2,0.1,0,0.4,0,0.6,1.1,0.1,1.9
2,1.3,1.9,0.8,1,0.2,0.1,1.9,0.2,0.1,0.1
3,1.3,1.5,1.5,1.1,1.6,0.8,0.5,0.2,0.9,1.3
4,0.6,0.7,0.8,0.1,0.1,0,2,0.1,0.6,0.3
5,2,1.2,1.2,0.6,0.1,0.5,0.8,1.1,0.3,0
6,0.6,1.5,1.4,1.7,1,1.4,1.5,0.2,1.1,1.5
7,1.7,1.1,0.5,0.3,0.5,0.7,1.5,0.1,1.5,1.5
8,0.4,1.1,0.6,0.4,1.8,0.7,0.1,1.4,0.4,0.6
9,1,1.3,1.6,0.8,1.7,0.9,0.3,2,0.3,0.9
10,0.4,0.4,0.3,1.7,1.7,0.3,0.1,1,1.2,1.1
11,1.7,1.8,1.9,0.6,1.9,1,0.3,0.9,0.7,1.8
12,0.6,1.2,0.1,1.6,0.6,1,1.8,0.3,1.1,0.2
13,1.2,2,1.2,0.3,1.5,0.9,0.8,1.6,1.4,0.4
14,1,0.1,1.1,1.8,0.5,0.2,0.9,0.5,1.7,0.4
15,0.2,0.9,0.7,1.1,0.6,0.3,0.4,1.8,0.1,1.4
16,0.6,0.3,1.9,1.8,0.5,0.9,1,0.7,1.6,1.8
17,0.4,0.4,0.7,1.9,1.9,0.2,0.4,0.4,0.4,0.8
18,1.6,1.5,0.2,1.6,0.6,0.1,1.1,1.9,0.4,0.6
19,1.8,1.8,1.6,1.2,0.3,0.6,1.8,1.1,1.3,1.3
20,0.5,0,0.7,1.3,1,0.5,0.8,1,1.9,1.4
